7 Days Ago,Year Ago EPS,Up Last 7 Days,Down Last 30 Days,header,EPS Actual,EPS Est,Surprise %,Next Year,Low Estimate,Price/Earnings (avg. for comparison categories),section,Year Ago Sales,Past 5 Years (per annum),30 Days Ago,Current Estimate,Difference,Sales Growth (year/est),This Year,symbol,Avg. Estimate,90 Days Ago,60 Days Ago,No. of Analysts,Down Last 90 Days,Next Qtr.,Up Last 30 Days,PEG Ratio (avg. for comparison categories),High Estimate,Current Qtr.,Next 5 Years (per annum)
,,,,Current Qtr. Jun 14,,,,,,,Earnings Est,,,,,,,,AAPL,1.22,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,Earnings Est,,,,,,,,AAPL,1.34,,,,,,,,,,
,,,,Current Year Sep 14,,,,,,,Earnings Est,,,,,,,,AAPL,6.31,,,,,,,,,,
,,,,Next Year Sep 15,,,,,,,Earnings Est,,,,,,,,AAPL,6.88,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,Earnings Est,,,,,,,,AAPL,,,,45.00,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,Earnings Est,,,,,,,,AAPL,,,,45.00,,,,,,,
,,,,Current Year Sep 14,,,,,,,Earnings Est,,,,,,,,AAPL,,,,51.00,,,,,,,
,,,,Next Year Sep 15,,,,,,,Earnings Est,,,,,,,,AAPL,,,,50.00,,,,,,,
,,,,Current Qtr. Jun 14,,,,,1.14,,Earnings Est,,,,,,,,AAPL,,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,1.16,,Earnings Est,,,,,,,,AAPL,,,,,,,,,,,
,,,,Current Year Sep 14,,,,,6.11,,Earnings Est,,,,,,,,AAPL,,,,,,,,,,,
,,,,Next Year Sep 15,,,,,5.88,,Earnings Est,,,,,,,,AAPL,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,Earnings Est,,,,,,,,AAPL,,,,,,,,,1.36,,
,,,,Next Qtr. Sep 14,,,,,,,Earnings Est,,,,,,,,AAPL,,,,,,,,,1.55,,
,,,,Current Year Sep 14,,,,,,,Earnings Est,,,,,,,,AAPL,,,,,,,,,6.52,,
,,,,Next Year Sep 15,,,,,,,Earnings Est,,,,,,,,AAPL,,,,,,,,,7.80,,
,1.07,,,Current Qtr. Jun 14,,,,,,,Earnings Est,,,,,,,,AAPL,,,,,,,,,,,
,1.18,,,Next Qtr. Sep 14,,,,,,,Earnings Est,,,,,,,,AAPL,,,,,,,,,,,
,5.68,,,Current Year Sep 14,,,,,,,Earnings Est,,,,,,,,AAPL,,,,,,,,,,,
,6.31,,,Next Year Sep 15,,,,,,,Earnings Est,,,,,,,,AAPL,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,Revenue Est,,,,,,,,AAPL,37.82B,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,Revenue Est,,,,,,,,AAPL,40.58B,,,,,,,,,,
,,,,Current Year Sep 14,,,,,,,Revenue Est,,,,,,,,AAPL,181.63B,,,,,,,,,,
,,,,Next Year Sep 15,,,,,,,Revenue Est,,,,,,,,AAPL,194.17B,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,Revenue Est,,,,,,,,AAPL,,,,42,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,Revenue Est,,,,,,,,AAPL,,,,42,,,,,,,
,,,,Current Year Sep 14,,,,,,,Revenue Est,,,,,,,,AAPL,,,,50,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,Earnings Est,,,,,,,,MCD,1.44,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,Earnings Est,,,,,,,,MCD,1.62,,,,,,,,,,
,,,,Current Year Dec 14,,,,,,,Earnings Est,,,,,,,,MCD,5.76,,,,,,,,,,
,,,,Next Year Dec 15,,,,,,,Earnings Est,,,,,,,,MCD,6.26,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,Earnings Est,,,,,,,,MCD,,,,24.00,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,Earnings Est,,,,,,,,MCD,,,,24.00,,,,,,,
,,,,Current Year Dec 14,,,,,,,Earnings Est,,,,,,,,MCD,,,,28.00,,,,,,,
,,,,Next Year Dec 15,,,,,,,Earnings Est,,,,,,,,MCD,,,,28.00,,,,,,,
,,,,Current Qtr. Jun 14,,,,,1.41,,Earnings Est,,,,,,,,MCD,,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,1.57,,Earnings Est,,,,,,,,MCD,,,,,,,,,,,
,,,,Current Year Dec 14,,,,,5.66,,Earnings Est,,,,,,,,MCD,,,,,,,,,,,
,,,,Next Year Dec 15,,,,,6.12,,Earnings Est,,,,,,,,MCD,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,Earnings Est,,,,,,,,MCD,,,,,,,,,1.48,,
,,,,Next Qtr. Sep 14,,,,,,,Earnings Est,,,,,,,,MCD,,,,,,,,,1.64,,
,,,,Current Qtr. Jun 14,,,,,,,Earnings Est,,,,,,,,YELP,-0.03,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,Earnings Est,,,,,,,,YELP,0.00,,,,,,,,,,
,,,,Current Year Dec 14,,,,,,,Earnings Est,,,,,,,,YELP,-0.03,,,,,,,,,,
,,,,Next Year Dec 15,,,,,,,Earnings Est,,,,,,,,YELP,0.32,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,Earnings Est,,,,,,,,YELP,,,,28.00,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,Earnings Est,,,,,,,,YELP,,,,28.00,,,,,,,
,,,,Current Year Dec 14,,,,,,,Earnings Est,,,,,,,,YELP,,,,28.00,,,,,,,
,,,,Next Year Sep 15,,,,,,,Revenue Est,,,,,,,,AAPL,,,,50,,,,,,,
,,,,Current Qtr. Jun 14,,,,,36.58B,,Revenue Est,,,,,,,,AAPL,,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,36.80B,,Revenue Est,,,,,,,,AAPL,,,,,,,,,,,
,,,,Current Year Sep 14,,,,,177.78B,,Revenue Est,,,,,,,,AAPL,,,,,,,,,,,
,,,,Next Year Sep 15,,,,,181.94B,,Revenue Est,,,,,,,,AAPL,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,Revenue Est,,,,,,,,AAPL,,,,,,,,,40.05B,,
,,,,Next Qtr. Sep 14,,,,,,,Revenue Est,,,,,,,,AAPL,,,,,,,,,46.60B,,
,,,,Current Year Sep 14,,,,,,,Revenue Est,,,,,,,,AAPL,,,,,,,,,186.86B,,
,,,,Next Year Sep 15,,,,,,,Revenue Est,,,,,,,,AAPL,,,,,,,,,210.84B,,
,,,,Current Year Dec 14,,,,,,,Earnings Est,,,,,,,,MCD,,,,,,,,,5.87,,
,,,,Next Year Dec 15,,,,,,,Earnings Est,,,,,,,,MCD,,,,,,,,,6.55,,
,1.38,,,Current Qtr. Jun 14,,,,,,,Earnings Est,,,,,,,,MCD,,,,,,,,,,,
,1.52,,,Next Qtr. Sep 14,,,,,,,Earnings Est,,,,,,,,MCD,,,,,,,,,,,
,5.55,,,Current Year Dec 14,,,,,,,Earnings Est,,,,,,,,MCD,,,,,,,,,,,
,5.76,,,Next Year Dec 15,,,,,,,Earnings Est,,,,,,,,MCD,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,Revenue Est,,,,,,,,MCD,7.28B,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,Revenue Est,,,,,,,,MCD,7.60B,,,,,,,,,,
,,,,Current Year Dec 14,,,,,,,Revenue Est,,,,,,,,MCD,28.92B,,,,,,,,,,
,,,,Next Year Dec 15,,,,,,,Revenue Est,,,,,,,,MCD,29.72B,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,Revenue Est,,,,,,,,MCD,,,,19,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,Revenue Est,,,,,,,,MCD,,,,19,,,,,,,
,,,,Current Year Dec 14,,,,,,,Revenue Est,,,,,,,,MCD,,,,24,,,,,,,
,,,,Next Year Dec 15,,,,,,,Earnings Est,,,,,,,,YELP,,,,28.00,,,,,,,
,,,,Current Qtr. Jun 14,,,,,-0.06,,Earnings Est,,,,,,,,YELP,,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,-0.03,,Earnings Est,,,,,,,,YELP,,,,,,,,,,,
,,,,Current Year Dec 14,,,,,-0.09,,Earnings Est,,,,,,,,YELP,,,,,,,,,,,
,,,,Next Year Dec 15,,,,,0.13,,Earnings Est,,,,,,,,YELP,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,Earnings Est,,,,,,,,YELP,,,,,,,,,-0.02,,
,,,,Next Qtr. Sep 14,,,,,,,Earnings Est,,,,,,,,YELP,,,,,,,,,0.02,,
,,,,Current Year Dec 14,,,,,,,Earnings Est,,,,,,,,YELP,,,,,,,,,0.01,,
,,,,Next Year Dec 15,,,,,,,Earnings Est,,,,,,,,YELP,,,,,,,,,0.52,,
,-0.01,,,Current Qtr. Jun 14,,,,,,,Earnings Est,,,,,,,,YELP,,,,,,,,,,,
,-0.04,,,Next Qtr. Sep 14,,,,,,,Earnings Est,,,,,,,,YELP,,,,,,,,,,,
,-0.15,,,Current Year Dec 14,,,,,,,Earnings Est,,,,,,,,YELP,,,,,,,,,,,
,-0.03,,,Next Year Dec 15,,,,,,,Earnings Est,,,,,,,,YELP,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,Revenue Est,,,,,,,,YELP,86.27M,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,Revenue Est,,,,,,,,YELP,95.39M,,,,,,,,,,
,,,,Current Year Dec 14,,,,,,,Revenue Est,,,,,,,,YELP,365.93M,,,,,,,,,,
,,,,Next Year Dec 15,,,,,,,Revenue Est,,,,,,,,YELP,524.24M,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,Revenue Est,,,,,,,,YELP,,,,31,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,Revenue Est,,,,,,,,YELP,,,,31,,,,,,,
,,,,Current Year Dec 14,,,,,,,Revenue Est,,,,,,,,YELP,,,,32,,,,,,,
,,,,Next Year Dec 15,,,,,,,Revenue Est,,,,,,,,YELP,,,,32,,,,,,,
,,,,Current Qtr. Jun 14,,,,,83.90M,,Revenue Est,,,,,,,,YELP,,,,,,,,,,,
,,,,Current Qtr. Jul 14,,,,,,,Earnings Est,,,,,,,,JCP,-0.94,,,,,,,,,,
,,,,Next Qtr. Oct 14,,,,,,,Earnings Est,,,,,,,,JCP,-0.84,,,,,,,,,,
,,,,Current Year Jan 15,,,,,,,Earnings Est,,,,,,,,JCP,-2.79,,,,,,,,,,
,,,,Next Year Jan 16,,,,,,,Earnings Est,,,,,,,,JCP,-1.33,,,,,,,,,,
,,,,Current Qtr. Jul 14,,,,,,,Earnings Est,,,,,,,,JCP,,,,17.00,,,,,,,
,,,,Next Qtr. Oct 14,,,,,,,Earnings Est,,,,,,,,JCP,,,,16.00,,,,,,,
,,,,Current Year Jan 15,,,,,,,Earnings Est,,,,,,,,JCP,,,,18.00,,,,,,,
,,,,Next Year Jan 16,,,,,,,Earnings Est,,,,,,,,JCP,,,,17.00,,,,,,,
,,,,Current Qtr. Jul 14,,,,,-1.17,,Earnings Est,,,,,,,,JCP,,,,,,,,,,,
,,,,Next Qtr. Oct 14,,,,,-1.10,,Earnings Est,,,,,,,,JCP,,,,,,,,,,,
,,,,Current Year Jan 15,,,,,-3.60,,Earnings Est,,,,,,,,JCP,,,,,,,,,,,
,,,,Next Year Jan 16,,,,,-2.24,,Earnings Est,,,,,,,,JCP,,,,,,,,,,,
,,,,Current Qtr. Jul 14,,,,,,,Earnings Est,,,,,,,,JCP,,,,,,,,,-0.65,,
,,,,Next Qtr. Oct 14,,,,,,,Earnings Est,,,,,,,,JCP,,,,,,,,,-0.60,,
,,,,Current Qtr. Jun 14,,,,,,,Revenue Est,35.32B,,,,,,,AAPL,,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,Revenue Est,37.47B,,,,,,,AAPL,,,,,,,,,,,
,,,,Current Year Sep 14,,,,,,,Revenue Est,170.91B,,,,,,,AAPL,,,,,,,,,,,
,,,,Next Year Sep 15,,,,,,,Revenue Est,181.63B,,,,,,,AAPL,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,Revenue Est,,,,,,7.10%,,AAPL,,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,Revenue Est,,,,,,8.30%,,AAPL,,,,,,,,,,,
,,,,Current Year Sep 14,,,,,,,Revenue Est,,,,,,6.30%,,AAPL,,,,,,,,,,,
,,,,Next Year Sep 15,,,,,,,Revenue Est,,,,,,6.90%,,AAPL,,,,,,,,,,,
,,,,Jun 13,,1.05,,,,,Earnings History,,,,,,,,AAPL,,,,,,,,,,,
,,,,Sep 13,,1.14,,,,,Earnings History,,,,,,,,AAPL,,,,,,,,,,,
,,,,Dec 13,,2.01,,,,,Earnings History,,,,,,,,AAPL,,,,,,,,,,,
,,,,Mar 14,,1.46,,,,,Earnings History,,,,,,,,AAPL,,,,,,,,,,,
,,,,Jun 13,1.07,,,,,,Earnings History,,,,,,,,AAPL,,,,,,,,,,,
,,,,Next Year Dec 15,,,,,,,Revenue Est,,,,,,,,MCD,,,,24,,,,,,,
,,,,Current Qtr. Jun 14,,,,,7.10B,,Revenue Est,,,,,,,,MCD,,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,7.45B,,Revenue Est,,,,,,,,MCD,,,,,,,,,,,
,,,,Current Year Dec 14,,,,,28.32B,,Revenue Est,,,,,,,,MCD,,,,,,,,,,,
,,,,Next Year Dec 15,,,,,28.32B,,Revenue Est,,,,,,,,MCD,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,Revenue Est,,,,,,,,MCD,,,,,,,,,7.46B,,
,,,,Next Qtr. Sep 14,,,,,,,Revenue Est,,,,,,,,MCD,,,,,,,,,7.76B,,
,,,,Current Year Dec 14,,,,,,,Revenue Est,,,,,,,,MCD,,,,,,,,,29.37B,,
,,,,Next Year Dec 15,,,,,,,Revenue Est,,,,,,,,MCD,,,,,,,,,30.71B,,
,,,,Current Qtr. Jun 14,,,,,,,Revenue Est,7.08B,,,,,,,MCD,,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,Revenue Est,7.32B,,,,,,,MCD,,,,,,,,,,,
,,,,Current Year Dec 14,,,,,,,Revenue Est,28.11B,,,,,,,MCD,,,,,,,,,,,
,,,,Next Year Dec 15,,,,,,,Revenue Est,28.92B,,,,,,,MCD,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,Revenue Est,,,,,,2.80%,,MCD,,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,93.00M,,Revenue Est,,,,,,,,YELP,,,,,,,,,,,
,,,,Current Year Dec 14,,,,,355.60M,,Revenue Est,,,,,,,,YELP,,,,,,,,,,,
,,,,Next Year Dec 15,,,,,459.53M,,Revenue Est,,,,,,,,YELP,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,Revenue Est,,,,,,,,YELP,,,,,,,,,88.50M,,
,,,,Next Qtr. Sep 14,,,,,,,Revenue Est,,,,,,,,YELP,,,,,,,,,96.80M,,
,,,,Current Year Dec 14,,,,,,,Revenue Est,,,,,,,,YELP,,,,,,,,,371.17M,,
,,,,Next Year Dec 15,,,,,,,Revenue Est,,,,,,,,YELP,,,,,,,,,551.05M,,
,,,,Current Qtr. Jun 14,,,,,,,Revenue Est,55.02M,,,,,,,YELP,,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,Revenue Est,61.18M,,,,,,,YELP,,,,,,,,,,,
,,,,Current Year Dec 14,,,,,,,Revenue Est,232.99M,,,,,,,YELP,,,,,,,,,,,
,,,,Next Year Dec 15,,,,,,,Revenue Est,365.93M,,,,,,,YELP,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,Revenue Est,,,,,,56.80%,,YELP,,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,Revenue Est,,,,,,55.90%,,YELP,,,,,,,,,,,
,,,,Current Year Jan 15,,,,,,,Earnings Est,,,,,,,,JCP,,,,,,,,,-2.20,,
,,,,Next Year Jan 16,,,,,,,Earnings Est,,,,,,,,JCP,,,,,,,,,-0.80,,
,-2.20,,,Current Qtr. Jul 14,,,,,,,Earnings Est,,,,,,,,JCP,,,,,,,,,,,
,-1.85,,,Next Qtr. Oct 14,,,,,,,Earnings Est,,,,,,,,JCP,,,,,,,,,,,
,-6.10,,,Current Year Jan 15,,,,,,,Earnings Est,,,,,,,,JCP,,,,,,,,,,,
,-2.79,,,Next Year Jan 16,,,,,,,Earnings Est,,,,,,,,JCP,,,,,,,,,,,
,,,,Current Qtr. Jul 14,,,,,,,Revenue Est,,,,,,,,JCP,2.78B,,,,,,,,,,
,,,,Next Qtr. Oct 14,,,,,,,Revenue Est,,,,,,,,JCP,2.88B,,,,,,,,,,
,,,,Current Year Jan 15,,,,,,,Revenue Est,,,,,,,,JCP,12.41B,,,,,,,,,,
,,,,Next Year Jan 16,,,,,,,Revenue Est,,,,,,,,JCP,12.94B,,,,,,,,,,
,,,,Current Qtr. Jul 14,,,,,,,Revenue Est,,,,,,,,JCP,,,,23,,,,,,,
,,,,Next Qtr. Oct 14,,,,,,,Revenue Est,,,,,,,,JCP,,,,22,,,,,,,
,,,,Current Year Jan 15,,,,,,,Revenue Est,,,,,,,,JCP,,,,25,,,,,,,
,,,,Next Year Jan 16,,,,,,,Revenue Est,,,,,,,,JCP,,,,23,,,,,,,
,,,,Current Qtr. Jul 14,,,,,2.71B,,Revenue Est,,,,,,,,JCP,,,,,,,,,,,
,,,,Next Qtr. Oct 14,,,,,2.75B,,Revenue Est,,,,,,,,JCP,,,,,,,,,,,
,,,,Current Year Jan 15,,,,,12.09B,,Revenue Est,,,,,,,,JCP,,,,,,,,,,,
,,,,Next Year Jan 16,,,,,12.46B,,Revenue Est,,,,,,,,JCP,,,,,,,,,,,
,,,,Current Qtr. Jul 14,,,,,,,Revenue Est,,,,,,,,JCP,,,,,,,,,2.86B,,
,,,,Current Qtr. Jun 14,,,,,,,Earnings Est,,,,,,,,COH,0.53,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,Earnings Est,,,,,,,,COH,0.50,,,,,,,,,,
,,,,Current Year Jun 14,,,,,,,Earnings Est,,,,,,,,COH,3.04,,,,,,,,,,
,,,,Next Year Jun 15,,,,,,,Earnings Est,,,,,,,,COH,2.19,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,Earnings Est,,,,,,,,COH,,,,34.00,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,Earnings Est,,,,,,,,COH,,,,23.00,,,,,,,
,,,,Current Year Jun 14,,,,,,,Earnings Est,,,,,,,,COH,,,,39.00,,,,,,,
,,,,Next Year Jun 15,,,,,,,Earnings Est,,,,,,,,COH,,,,39.00,,,,,,,
,,,,Current Qtr. Jun 14,,,,,0.42,,Earnings Est,,,,,,,,COH,,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,0.32,,Earnings Est,,,,,,,,COH,,,,,,,,,,,
,,,,Current Year Jun 14,,,,,2.93,,Earnings Est,,,,,,,,COH,,,,,,,,,,,
,,,,Sep 13,1.18,,,,,,Earnings History,,,,,,,,AAPL,,,,,,,,,,,
,,,,Dec 13,2.07,,,,,,Earnings History,,,,,,,,AAPL,,,,,,,,,,,
,,,,Mar 14,1.66,,,,,,Earnings History,,,,,,,,AAPL,,,,,,,,,,,
,,,,Jun 13,,,,,,,Earnings History,,,,,0.02,,,AAPL,,,,,,,,,,,
,,,,Sep 13,,,,,,,Earnings History,,,,,0.04,,,AAPL,,,,,,,,,,,
,,,,Dec 13,,,,,,,Earnings History,,,,,0.06,,,AAPL,,,,,,,,,,,
,,,,Mar 14,,,,,,,Earnings History,,,,,0.20,,,AAPL,,,,,,,,,,,
,,,,Jun 13,,,1.90%,,,,Earnings History,,,,,,,,AAPL,,,,,,,,,,,
,,,,Sep 13,,,3.50%,,,,Earnings History,,,,,,,,AAPL,,,,,,,,,,,
,,,,Dec 13,,,3.00%,,,,Earnings History,,,,,,,,AAPL,,,,,,,,,,,
,,,,Mar 14,,,13.70%,,,,Earnings History,,,,,,,,AAPL,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,EPS Trends,,,,1.22,,,,AAPL,,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,EPS Trends,,,,1.34,,,,AAPL,,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,Revenue Est,,,,,,3.80%,,MCD,,,,,,,,,,,
,,,,Current Year Dec 14,,,,,,,Revenue Est,,,,,,2.90%,,MCD,,,,,,,,,,,
,,,,Next Year Dec 15,,,,,,,Revenue Est,,,,,,2.80%,,MCD,,,,,,,,,,,
,,,,Jun 13,,1.40,,,,,Earnings History,,,,,,,,MCD,,,,,,,,,,,
,,,,Sep 13,,1.51,,,,,Earnings History,,,,,,,,MCD,,,,,,,,,,,
,,,,Dec 13,,1.39,,,,,Earnings History,,,,,,,,MCD,,,,,,,,,,,
,,,,Mar 14,,1.24,,,,,Earnings History,,,,,,,,MCD,,,,,,,,,,,
,,,,Jun 13,1.38,,,,,,Earnings History,,,,,,,,MCD,,,,,,,,,,,
,,,,Sep 13,1.52,,,,,,Earnings History,,,,,,,,MCD,,,,,,,,,,,
,,,,Dec 13,1.40,,,,,,Earnings History,,,,,,,,MCD,,,,,,,,,,,
,,,,Mar 14,1.21,,,,,,Earnings History,,,,,,,,MCD,,,,,,,,,,,
,,,,Jun 13,,,,,,,Earnings History,,,,,-0.02,,,MCD,,,,,,,,,,,
,,,,Sep 13,,,,,,,Earnings History,,,,,0.01,,,MCD,,,,,,,,,,,
,,,,Dec 13,,,,,,,Earnings History,,,,,0.01,,,MCD,,,,,,,,,,,
,,,,Mar 14,,,,,,,Earnings History,,,,,-0.03,,,MCD,,,,,,,,,,,
,,,,Jun 13,,,-1.40%,,,,Earnings History,,,,,,,,MCD,,,,,,,,,,,
,,,,Sep 13,,,0.70%,,,,Earnings History,,,,,,,,MCD,,,,,,,,,,,
,,,,Dec 13,,,0.70%,,,,Earnings History,,,,,,,,MCD,,,,,,,,,,,
