7 Days Ago,Year Ago EPS,Up Last 7 Days,Down Last 30 Days,header,EPS Actual,EPS Est,Surprise %,Next Year,Low Estimate,Price/Earnings (avg. for comparison categories),section,Year Ago Sales,Past 5 Years (per annum),30 Days Ago,Current Estimate,Difference,Sales Growth (year/est),This Year,symbol,Avg. Estimate,90 Days Ago,60 Days Ago,No. of Analysts,Down Last 90 Days,Next Qtr.,Up Last 30 Days,PEG Ratio (avg. for comparison categories),High Estimate,Current Qtr.,Next 5 Years (per annum)
,,,,Sector,,,,,,,Growth Est,,N/A,,,,,,COH,,,,,,,,,,,
,,,,S&P 500,,,,,,,Growth Est,,N/A,,,,,,COH,,,,,,,,,,,
,,,,COH,,,,,,,Growth Est,,,,,,,,COH,,,,,,,,,,,1.61%
,,,,Industry,,,,,,,Growth Est,,,,,,,,COH,,,,,,,,,,,13.83%
,,,,Sector,,,,,,,Growth Est,,,,,,,,COH,,,,,,,,,,,13.56%
,,,,S&P 500,,,,,,,Growth Est,,,,,,,,COH,,,,,,,,,,,9.74%
,,,,COH,,,,,,11.42,Growth Est,,,,,,,,COH,,,,,,,,,,,
,,,,Industry,,,,,,18.74,Growth Est,,,,,,,,COH,,,,,,,,,,,
,,,,Sector,,,,,,23.71,Growth Est,,,,,,,,COH,,,,,,,,,,,
,,,,S&P 500,,,,,,19.13,Growth Est,,,,,,,,COH,,,,,,,,,,,
,,,,COH,,,,,,,Growth Est,,,,,,,,COH,,,,,,,,7.09,,,
,,,,Industry,,,,,,,Growth Est,,,,,,,,COH,,,,,,,,1.29,,,
,,,,Sector,,,,,,,Growth Est,,,,,,,,COH,,,,,,,,2.68,,,
,,,,S&P 500,,,,,,,Growth Est,,,,,,,,COH,,,,,,,,3.81,,,
,,,,Current Qtr. Jun 14,,,,,,,Revenue Est,,,,,,16.00%,,MSFT,,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,Revenue Est,,,,,,24.50%,,MSFT,,,,,,,,,,,
,,,,Current Year Jun 14,,,,,,,Revenue Est,,,,,,10.70%,,MSFT,,,,,,,,,,,
,,,,Next Year Jun 15,,,,,,,Revenue Est,,,,,,16.60%,,MSFT,,,,,,,,,,,
,,,,Jun 13,,0.75,,,,,Earnings History,,,,,,,,MSFT,,,,,,,,,,,
,,,,Sep 13,,0.54,,,,,Earnings History,,,,,,,,MSFT,,,,,,,,,,,
,,,,Dec 13,,0.68,,,,,Earnings History,,,,,,,,MSFT,,,,,,,,,,,
,,,,Mar 14,,0.63,,,,,Earnings History,,,,,,,,MSFT,,,,,,,,,,,
,,,,Jun 13,0.66,,,,,,Earnings History,,,,,,,,MSFT,,,,,,,,,,,
,,,,Sep 13,0.62,,,,,,Earnings History,,,,,,,,MSFT,,,,,,,,,,,
,,,,Dec 13,0.78,,,,,,Earnings History,,,,,,,,MSFT,,,,,,,,,,,
,,,,Mar 14,0.68,,,,,,Earnings History,,,,,,,,MSFT,,,,,,,,,,,
,,,,Jun 13,,,,,,,Earnings History,,,,,-0.09,,,MSFT,,,,,,,,,,,
,,,,Sep 13,,,,,,,Earnings History,,,,,0.08,,,MSFT,,,,,,,,,,,
,,,,Dec 13,,,,,,,Earnings History,,,,,0.10,,,MSFT,,,,,,,,,,,
,,,,Mar 14,,,,,,,Earnings History,,,,,0.05,,,MSFT,,,,,,,,,,,
,,,,Jun 13,,,-12.00%,,,,Earnings History,,,,,,,,MSFT,,,,,,,,,,,
,,,,Sep 13,,,14.80%,,,,Earnings History,,,,,,,,MSFT,,,,,,,,,,,
,,,,Dec 13,,,14.70%,,,,Earnings History,,,,,,,,MSFT,,,,,,,,,,,
,,,,Mar 14,,,7.90%,,,,Earnings History,,,,,,,,MSFT,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,EPS Trends,,,,0.61,,,,MSFT,,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,EPS Trends,,,,0.64,,,,MSFT,,,,,,,,,,,
,,,,Current Year Jun 14,,,,,,,EPS Trends,,,,2.70,,,,MSFT,,,,,,,,,,,
,,,,Next Year Jun 15,,,,,,,EPS Trends,,,,2.87,,,,MSFT,,,,,,,,,,,
0.61,,,,Current Qtr. Jun 14,,,,,,,EPS Trends,,,,,,,,MSFT,,,,,,,,,,,
0.64,,,,Next Qtr. Sep 14,,,,,,,EPS Trends,,,,,,,,MSFT,,,,,,,,,,,
2.70,,,,Current Year Jun 14,,,,,,,EPS Trends,,,,,,,,MSFT,,,,,,,,,,,
2.87,,,,Next Year Jun 15,,,,,,,EPS Trends,,,,,,,,MSFT,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,EPS Trends,,,0.61,,,,,MSFT,,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,EPS Trends,,,0.64,,,,,MSFT,,,,,,,,,,,
,,,,Current Year Jun 14,,,,,,,EPS Trends,,,2.70,,,,,MSFT,,,,,,,,,,,
,,,,Next Year Jun 15,,,,,,,EPS Trends,,,2.88,,,,,MSFT,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,EPS Trends,,,,,,,,MSFT,,,0.67,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,EPS Trends,,,,,,,,MSFT,,,0.65,,,,,,,,
,,,,Current Year Jun 14,,,,,,,EPS Trends,,,,,,,,MSFT,,,2.70,,,,,,,,
,,,,Next Year Jun 15,,,,,,,EPS Trends,,,,,,,,MSFT,,,2.90,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,EPS Trends,,,,,,,,MSFT,,0.67,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,EPS Trends,,,,,,,,MSFT,,0.65,,,,,,,,,
,,,,Current Year Jun 14,,,,,,,EPS Trends,,,,,,,,MSFT,,2.70,,,,,,,,,
,,,,Next Year Jun 15,,,,,,,EPS Trends,,,,,,,,MSFT,,2.90,,,,,,,,,
,,0,,Current Qtr. Jun 14,,,,,,,EPS Revisions,,,,,,,,MSFT,,,,,,,,,,,
,,0,,Next Qtr. Sep 14,,,,,,,EPS Revisions,,,,,,,,MSFT,,,,,,,,,,,
,,0,,Current Year Jun 14,,,,,,,EPS Revisions,,,,,,,,MSFT,,,,,,,,,,,
,,0,,Next Year Jun 15,,,,,,,EPS Revisions,,,,,,,,MSFT,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,EPS Revisions,,,,,,,,MSFT,,,,,,,0,,,,
,,,,Next Qtr. Sep 14,,,,,,,EPS Revisions,,,,,,,,MSFT,,,,,,,0,,,,
,,,,Current Year Jun 14,,,,,,,EPS Revisions,,,,,,,,MSFT,,,,,,,2,,,,
,,,,Next Year Jun 15,,,,,,,EPS Revisions,,,,,,,,MSFT,,,,,,,0,,,,
,,,0,Current Qtr. Jun 14,,,,,,,EPS Revisions,,,,,,,,MSFT,,,,,,,,,,,
,,,0,Next Qtr. Sep 14,,,,,,,EPS Revisions,,,,,,,,MSFT,,,,,,,,,,,
,,,0,Current Year Jun 14,,,,,,,EPS Revisions,,,,,,,,MSFT,,,,,,,,,,,
,,,0,Next Year Jun 15,,,,,,,EPS Revisions,,,,,,,,MSFT,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,EPS Revisions,,,,,,,,MSFT,,,,,N/A,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,EPS Revisions,,,,,,,,MSFT,,,,,N/A,,,,,,
,,,,Current Year Jun 14,,,,,,,EPS Revisions,,,,,,,,MSFT,,,,,N/A,,,,,,
,,,,Next Year Jun 15,,,,,,,EPS Revisions,,,,,,,,MSFT,,,,,N/A,,,,,,
,,,,MSFT,,,,,,,Growth Est,,,,,,,,MSFT,,,,,,,,,,-7.60%,
,,,,Industry,,,,,,,Growth Est,,,,,,,,MSFT,,,,,,,,,,-10.00%,
,,,,Sector,,,,,,,Growth Est,,,,,,,,MSFT,,,,,,,,,,N/A,
,,,,S&P 500,,,,,,,Growth Est,,,,,,,,MSFT,,,,,,,,,,12.30%,
,,,,MSFT,,,,,,,Growth Est,,,,,,,,MSFT,,,,,,3.20%,,,,,
,,,,Industry,,,,,,,Growth Est,,,,,,,,MSFT,,,,,,9.40%,,,,,
,,,,Sector,,,,,,,Growth Est,,,,,,,,MSFT,,,,,,696.40%,,,,,
,,,,S&P 500,,,,,,,Growth Est,,,,,,,,MSFT,,,,,,16.70%,,,,,
,,,,MSFT,,,,,,,Growth Est,,,,,,,1.90%,MSFT,,,,,,,,,,,
,,,,Industry,,,,,,,Growth Est,,,,,,,6.40%,MSFT,,,,,,,,,,,
,,,,Sector,,,,,,,Growth Est,,,,,,,15.00%,MSFT,,,,,,,,,,,
,,,,S&P 500,,,,,,,Growth Est,,,,,,,7.70%,MSFT,,,,,,,,,,,
,,,,MSFT,,,,6.30%,,,Growth Est,,,,,,,,MSFT,,,,,,,,,,,
,,,,Industry,,,,22.10%,,,Growth Est,,,,,,,,MSFT,,,,,,,,,,,
,,,,Sector,,,,25.00%,,,Growth Est,,,,,,,,MSFT,,,,,,,,,,,
,,,,S&P 500,,,,12.20%,,,Growth Est,,,,,,,,MSFT,,,,,,,,,,,
,,,,MSFT,,,,,,,Growth Est,,10.52%,,,,,,MSFT,,,,,,,,,,,
,,,,Industry,,,,,,,Growth Est,,N/A,,,,,,MSFT,,,,,,,,,,,
,,,,Sector,,,,,,,Growth Est,,N/A,,,,,,MSFT,,,,,,,,,,,
,,,,S&P 500,,,,,,,Growth Est,,N/A,,,,,,MSFT,,,,,,,,,,,
,,,,MSFT,,,,,,,Growth Est,,,,,,,,MSFT,,,,,,,,,,,6.78%
,,,,Industry,,,,,,,Growth Est,,,,,,,,MSFT,,,,,,,,,,,19.09%
,,,,Sector,,,,,,,Growth Est,,,,,,,,MSFT,,,,,,,,,,,17.23%
,,,,S&P 500,,,,,,,Growth Est,,,,,,,,MSFT,,,,,,,,,,,9.74%
,,,,MSFT,,,,,,15.44,Growth Est,,,,,,,,MSFT,,,,,,,,,,,
,,,,Industry,,,,,,2.72,Growth Est,,,,,,,,MSFT,,,,,,,,,,,
,,,,Sector,,,,,,14.61,Growth Est,,,,,,,,MSFT,,,,,,,,,,,
,,,,S&P 500,,,,,,19.13,Growth Est,,,,,,,,MSFT,,,,,,,,,,,
,,,,MSFT,,,,,,,Growth Est,,,,,,,,MSFT,,,,,,,,2.28,,,
,,,,Industry,,,,,,,Growth Est,,,,,,,,MSFT,,,,,,,,1.10,,,
,,,,Sector,,,,,,,Growth Est,,,,,,,,MSFT,,,,,,,,1.30,,,
,,,,S&P 500,,,,,,,Growth Est,,,,,,,,MSFT,,,,,,,,3.81,,,
,,,,Current Qtr. Jun 14,,,,,,,Earnings Est,,,,,,,,INTC,0.52,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,Earnings Est,,,,,,,,INTC,0.56,,,,,,,,,,
,,,,Current Year Dec 14,,,,,,,Earnings Est,,,,,,,,INTC,2.02,,,,,,,,,,
,,,,Next Year Dec 15,,,,,,,Earnings Est,,,,,,,,INTC,2.11,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,Earnings Est,,,,,,,,INTC,,,,39.00,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,Earnings Est,,,,,,,,INTC,,,,38.00,,,,,,,
,,,,Current Year Dec 14,,,,,,,Earnings Est,,,,,,,,INTC,,,,43.00,,,,,,,
,,,,Next Year Dec 15,,,,,,,Earnings Est,,,,,,,,INTC,,,,44.00,,,,,,,
,,,,Current Qtr. Jun 14,,,,,0.45,,Earnings Est,,,,,,,,INTC,,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,0.49,,Earnings Est,,,,,,,,INTC,,,,,,,,,,,
,,,,Current Year Dec 14,,,,,1.76,,Earnings Est,,,,,,,,INTC,,,,,,,,,,,
,,,,Next Year Dec 15,,,,,1.57,,Earnings Est,,,,,,,,INTC,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,Earnings Est,,,,,,,,INTC,,,,,,,,,0.55,,
,,,,Next Qtr. Sep 14,,,,,,,Earnings Est,,,,,,,,INTC,,,,,,,,,0.62,,
,,,,Current Year Dec 14,,,,,,,Earnings Est,,,,,,,,INTC,,,,,,,,,2.21,,
,,,,Next Year Dec 15,,,,,,,Earnings Est,,,,,,,,INTC,,,,,,,,,2.51,,
,0.39,,,Current Qtr. Jun 14,,,,,,,Earnings Est,,,,,,,,INTC,,,,,,,,,,,
,0.58,,,Next Qtr. Sep 14,,,,,,,Earnings Est,,,,,,,,INTC,,,,,,,,,,,
,1.89,,,Current Year Dec 14,,,,,,,Earnings Est,,,,,,,,INTC,,,,,,,,,,,
,2.02,,,Next Year Dec 15,,,,,,,Earnings Est,,,,,,,,INTC,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,Revenue Est,,,,,,,,INTC,13.68B,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,Revenue Est,,,,,,,,INTC,14.02B,,,,,,,,,,
,,,,Current Year Dec 14,,,,,,,Revenue Est,,,,,,,,INTC,54.54B,,,,,,,,,,
,,,,Next Year Dec 15,,,,,,,Revenue Est,,,,,,,,INTC,55.79B,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,Revenue Est,,,,,,,,INTC,,,,37,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,Revenue Est,,,,,,,,INTC,,,,36,,,,,,,
,,,,Current Year Dec 14,,,,,,,Revenue Est,,,,,,,,INTC,,,,42,,,,,,,
,,,,Next Year Dec 15,,,,,,,Revenue Est,,,,,,,,INTC,,,,42,,,,,,,
,,,,Current Qtr. Jun 14,,,,,13.00B,,Revenue Est,,,,,,,,INTC,,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,13.40B,,Revenue Est,,,,,,,,INTC,,,,,,,,,,,
,,,,Current Year Dec 14,,,,,51.92B,,Revenue Est,,,,,,,,INTC,,,,,,,,,,,
,,,,Next Year Dec 15,,,,,49.44B,,Revenue Est,,,,,,,,INTC,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,Revenue Est,,,,,,,,INTC,,,,,,,,,14.00B,,
,,,,Next Qtr. Sep 14,,,,,,,Revenue Est,,,,,,,,INTC,,,,,,,,,14.52B,,
,,,,Current Year Dec 14,,,,,,,Revenue Est,,,,,,,,INTC,,,,,,,,,55.94B,,
,,,,Next Year Dec 15,,,,,,,Revenue Est,,,,,,,,INTC,,,,,,,,,59.05B,,
,,,,Current Qtr. Jun 14,,,,,,,Revenue Est,12.81B,,,,,,,INTC,,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,Revenue Est,13.48B,,,,,,,INTC,,,,,,,,,,,
,,,,Current Year Dec 14,,,,,,,Revenue Est,52.71B,,,,,,,INTC,,,,,,,,,,,
,,,,Next Year Dec 15,,,,,,,Revenue Est,54.54B,,,,,,,INTC,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,Revenue Est,,,,,,6.80%,,INTC,,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,Revenue Est,,,,,,4.00%,,INTC,,,,,,,,,,,
,,,,Current Year Dec 14,,,,,,,Revenue Est,,,,,,3.50%,,INTC,,,,,,,,,,,
,,,,Next Year Dec 15,,,,,,,Revenue Est,,,,,,2.30%,,INTC,,,,,,,,,,,
,,,,Jun 13,,0.40,,,,,Earnings History,,,,,,,,INTC,,,,,,,,,,,
,,,,Sep 13,,0.53,,,,,Earnings History,,,,,,,,INTC,,,,,,,,,,,
,,,,Dec 13,,0.52,,,,,Earnings History,,,,,,,,INTC,,,,,,,,,,,
,,,,Mar 14,,0.37,,,,,Earnings History,,,,,,,,INTC,,,,,,,,,,,
,,,,Jun 13,0.39,,,,,,Earnings History,,,,,,,,INTC,,,,,,,,,,,
,,,,Sep 13,0.58,,,,,,Earnings History,,,,,,,,INTC,,,,,,,,,,,
,,,,Dec 13,0.51,,,,,,Earnings History,,,,,,,,INTC,,,,,,,,,,,
,,,,Mar 14,0.38,,,,,,Earnings History,,,,,,,,INTC,,,,,,,,,,,
,,,,Jun 13,,,,,,,Earnings History,,,,,-0.01,,,INTC,,,,,,,,,,,
,,,,Sep 13,,,,,,,Earnings History,,,,,0.05,,,INTC,,,,,,,,,,,
,,,,Dec 13,,,,,,,Earnings History,,,,,-0.01,,,INTC,,,,,,,,,,,
,,,,Mar 14,,,,,,,Earnings History,,,,,0.01,,,INTC,,,,,,,,,,,
,,,,Jun 13,,,-2.50%,,,,Earnings History,,,,,,,,INTC,,,,,,,,,,,
,,,,Sep 13,,,9.40%,,,,Earnings History,,,,,,,,INTC,,,,,,,,,,,
,,,,Dec 13,,,-1.90%,,,,Earnings History,,,,,,,,INTC,,,,,,,,,,,
,,,,Mar 14,,,2.70%,,,,Earnings History,,,,,,,,INTC,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,EPS Trends,,,,0.52,,,,INTC,,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,EPS Trends,,,,0.56,,,,INTC,,,,,,,,,,,
,,,,Current Year Dec 14,,,,,,,EPS Trends,,,,2.02,,,,INTC,,,,,,,,,,,
,,,,Next Year Dec 15,,,,,,,EPS Trends,,,,2.11,,,,INTC,,,,,,,,,,,
0.51,,,,Current Qtr. Jun 14,,,,,,,EPS Trends,,,,,,,,INTC,,,,,,,,,,,
0.54,,,,Next Qtr. Sep 14,,,,,,,EPS Trends,,,,,,,,INTC,,,,,,,,,,,
1.99,,,,Current Year Dec 14,,,,,,,EPS Trends,,,,,,,,INTC,,,,,,,,,,,
2.09,,,,Next Year Dec 15,,,,,,,EPS Trends,,,,,,,,INTC,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,EPS Trends,,,0.47,,,,,INTC,,,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,EPS Trends,,,0.51,,,,,INTC,,,,,,,,,,,
,,,,Current Year Dec 14,,,,,,,EPS Trends,,,1.89,,,,,INTC,,,,,,,,,,,
,,,,Next Year Dec 15,,,,,,,EPS Trends,,,2.00,,,,,INTC,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,EPS Trends,,,,,,,,INTC,,,0.46,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,EPS Trends,,,,,,,,INTC,,,0.51,,,,,,,,
,,,,Current Year Dec 14,,,,,,,EPS Trends,,,,,,,,INTC,,,1.89,,,,,,,,
,,,,Next Year Dec 15,,,,,,,EPS Trends,,,,,,,,INTC,,,2.00,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,EPS Trends,,,,,,,,INTC,,0.43,,,,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,EPS Trends,,,,,,,,INTC,,0.51,,,,,,,,,
,,,,Current Year Dec 14,,,,,,,EPS Trends,,,,,,,,INTC,,1.85,,,,,,,,,
,,,,Next Year Dec 15,,,,,,,EPS Trends,,,,,,,,INTC,,1.99,,,,,,,,,
,,26,,Current Qtr. Jun 14,,,,,,,EPS Revisions,,,,,,,,INTC,,,,,,,,,,,
,,26,,Next Qtr. Sep 14,,,,,,,EPS Revisions,,,,,,,,INTC,,,,,,,,,,,
,,29,,Current Year Dec 14,,,,,,,EPS Revisions,,,,,,,,INTC,,,,,,,,,,,
,,1,,Next Year Dec 15,,,,,,,EPS Revisions,,,,,,,,INTC,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,EPS Revisions,,,,,,,,INTC,,,,,,,37,,,,
,,,,Next Qtr. Sep 14,,,,,,,EPS Revisions,,,,,,,,INTC,,,,,,,35,,,,
,,,,Current Year Dec 14,,,,,,,EPS Revisions,,,,,,,,INTC,,,,,,,40,,,,
,,,,Next Year Dec 15,,,,,,,EPS Revisions,,,,,,,,INTC,,,,,,,35,,,,
,,,0,Current Qtr. Jun 14,,,,,,,EPS Revisions,,,,,,,,INTC,,,,,,,,,,,
,,,0,Next Qtr. Sep 14,,,,,,,EPS Revisions,,,,,,,,INTC,,,,,,,,,,,
,,,0,Current Year Dec 14,,,,,,,EPS Revisions,,,,,,,,INTC,,,,,,,,,,,
,,,0,Next Year Dec 15,,,,,,,EPS Revisions,,,,,,,,INTC,,,,,,,,,,,
,,,,Current Qtr. Jun 14,,,,,,,EPS Revisions,,,,,,,,INTC,,,,,N/A,,,,,,
,,,,Next Qtr. Sep 14,,,,,,,EPS Revisions,,,,,,,,INTC,,,,,N/A,,,,,,
,,,,Current Year Dec 14,,,,,,,EPS Revisions,,,,,,,,INTC,,,,,N/A,,,,,,
,,,,Next Year Dec 15,,,,,,,EPS Revisions,,,,,,,,INTC,,,,,N/A,,,,,,
,,,,INTC,,,,,,,Growth Est,,,,,,,,INTC,,,,,,,,,,33.30%,
,,,,Industry,,,,,,,Growth Est,,,,,,,,INTC,,,,,,,,,,43.60%,
,,,,Sector,,,,,,,Growth Est,,,,,,,,INTC,,,,,,,,,,N/A,
,,,,S&P 500,,,,,,,Growth Est,,,,,,,,INTC,,,,,,,,,,12.30%,
,,,,INTC,,,,,,,Growth Est,,,,,,,,INTC,,,,,,-3.40%,,,,,
,,,,Industry,,,,,,,Growth Est,,,,,,,,INTC,,,,,,53.10%,,,,,
,,,,Sector,,,,,,,Growth Est,,,,,,,,INTC,,,,,,696.40%,,,,,
,,,,S&P 500,,,,,,,Growth Est,,,,,,,,INTC,,,,,,16.70%,,,,,
,,,,INTC,,,,,,,Growth Est,,,,,,,6.90%,INTC,,,,,,,,,,,
,,,,Industry,,,,,,,Growth Est,,,,,,,32.90%,INTC,,,,,,,,,,,
,,,,Sector,,,,,,,Growth Est,,,,,,,15.00%,INTC,,,,,,,,,,,
,,,,S&P 500,,,,,,,Growth Est,,,,,,,7.70%,INTC,,,,,,,,,,,
,,,,INTC,,,,4.50%,,,Growth Est,,,,,,,,INTC,,,,,,,,,,,
,,,,Industry,,,,32.10%,,,Growth Est,,,,,,,,INTC,,,,,,,,,,,
,,,,Sector,,,,25.00%,,,Growth Est,,,,,,,,INTC,,,,,,,,,,,
,,,,S&P 500,,,,12.20%,,,Growth Est,,,,,,,,INTC,,,,,,,,,,,
,,,,INTC,,,,,,,Growth Est,,10.47%,,,,,,INTC,,,,,,,,,,,
,,,,Industry,,,,,,,Growth Est,,N/A,,,,,,INTC,,,,,,,,,,,
,,,,Sector,,,,,,,Growth Est,,N/A,,,,,,INTC,,,,,,,,,,,
,,,,S&P 500,,,,,,,Growth Est,,N/A,,,,,,INTC,,,,,,,,,,,
,,,,INTC,,,,,,,Growth Est,,,,,,,,INTC,,,,,,,,,,,6.80%
,,,,Industry,,,,,,,Growth Est,,,,,,,,INTC,,,,,,,,,,,15.72%
,,,,Sector,,,,,,,Growth Est,,,,,,,,INTC,,,,,,,,,,,17.23%
,,,,S&P 500,,,,,,,Growth Est,,,,,,,,INTC,,,,,,,,,,,9.74%
,,,,INTC,,,,,,14.95,Growth Est,,,,,,,,INTC,,,,,,,,,,,
,,,,Industry,,,,,,21.25,Growth Est,,,,,,,,INTC,,,,,,,,,,,
,,,,Sector,,,,,,14.61,Growth Est,,,,,,,,INTC,,,,,,,,,,,
,,,,S&P 500,,,,,,19.13,Growth Est,,,,,,,,INTC,,,,,,,,,,,
,,,,INTC,,,,,,,Growth Est,,,,,,,,INTC,,,,,,,,2.20,,,
,,,,Industry,,,,,,,Growth Est,,,,,,,,INTC,,,,,,,,1.61,,,
,,,,Sector,,,,,,,Growth Est,,,,,,,,INTC,,,,,,,,1.30,,,
,,,,S&P 500,,,,,,,Growth Est,,,,,,,,INTC,,,,,,,,3.81,,,
